Date,NIFTY_BANK,NIFTY_AUTO,NIFTY_FMCG,NIFTY_IT,NIFTY_PHARMA,NIFTY_OIL_GAS,NIFTY_PRIVATE_BANK,NIFTY_PSU_BANK,NIFTY_COMMODITIES,NIFTY_CONSUMERABLES,NIFTY_FINANCIAL_SERVICES_EXBANK,NIFTY_FINANCIAL_SERVICES25_50,NIFTY_ENERGY
13-Jan-22,0.0721%,1.7666%,0.6232%,0.0041%,1.4013%,1.4013%,1.4013%,1.4013%,2.9122%,1.4013%,1.4013%,1.4013%,3.2809%
12-Jan-22,0.9803%,1.2382%,0.0234%,1.0168%,-0.1825%,-0.1825%,-0.1825%,-0.1825%,1.1755%,-0.1825%,-0.1825%,-0.1825%,3.2773%
11-Jan-22,1.8277%,1.6446%,-0.0384%,1.2059%,-0.0267%,-0.0267%,-0.0267%,-0.0267%,0.4224%,-0.0267%,-0.0267%,-0.0267%,1.7731%
10-Jan-22,2.2365%,1.6093%,0.9518%,0.5318%,-0.3846%,-0.3846%,-0.3846%,-0.3846%,2.1865%,-0.3846%,-0.3846%,-0.3846%,1.4412%
07-Jan-22,0.1158%,0.3016%,-0.1228%,-1.2305%,-1.0240%,-1.0240%,-1.0240%,-1.0240%,0.7445%,-1.0240%,-1.0240%,-1.0240%,0.2532%
06-Jan-22,1.7341%,1.5658%,-0.4727%,-3.5826%,-0.9229%,-0.9229%,-0.9229%,-0.9229%,0.4722%,-0.9229%,-0.9229%,-0.9229%,0.0011%
05-Jan-22,3.3797%,1.2641%,0.8043%,-1.3330%,-1.1182%,-1.1182%,-1.1182%,-1.1182%,1.8652%,-1.1182%,-1.1182%,-1.1182%,2.8436%
04-Jan-22,3.6874%,1.8179%,0.5831%,1.7010%,-1.2987%,-1.2987%,-1.2987%,-1.2987%,2.3098%,-1.2987%,-1.2987%,-1.2987%,3.1596%
03-Jan-22,3.7293%,3.2291%,1.4104%,1.1885%,0.1476%,0.1476%,0.1476%,0.1476%,3.0176%,0.1476%,0.1476%,0.1476%,1.5924%
31-Dec-21,1.2296%,0.9815%,1.4669%,1.1017%,1.0553%,1.0553%,1.0553%,1.0553%,0.5439%,1.0553%,1.0553%,1.0553%,-0.5011%
30-Dec-21,-0.3428%,-0.2622%,-0.2348%,0.7786%,2.1177%,2.1177%,2.1177%,2.1177%,-1.4553%,2.1177%,2.1177%,2.1177%,-1.4730%
29-Dec-21,-0.0357%,1.7351%,0.3924%,0.7476%,2.5776%,2.5776%,2.5776%,2.5776%,0.9189%,2.5776%,2.5776%,2.5776%,0.8085%
28-Dec-21,0.9287%,1.5124%,0.6699%,1.6424%,2.4927%,2.4927%,2.4927%,2.4927%,1.4156%,2.4927%,2.4927%,2.4927%,0.9982%
27-Dec-21,-0.3801%,-0.8401%,-0.3028%,1.6471%,0.4788%,0.4788%,0.4788%,0.4788%,-1.0702%,0.4788%,0.4788%,0.4788%,-1.3660%
24-Dec-21,-0.4947%,-0.2994%,1.1058%,1.9578%,-0.4184%,-0.4184%,-0.4184%,-0.4184%,-0.5289%,-0.4184%,-0.4184%,-0.4184%,0.0379%
23-Dec-21,1.6575%,2.3031%,1.7794%,1.9689%,2.6505%,2.6505%,2.6505%,2.6505%,2.0466%,2.6505%,2.6505%,2.6505%,2.3785%
22-Dec-21,1.6833%,2.3210%,1.1530%,2.9000%,2.6813%,2.6813%,2.6813%,2.6813%,3.5357%,2.6813%,2.6813%,2.6813%,2.2579%
21-Dec-21,-2.9207%,-1.8576%,-0.2785%,-0.0567%,0.3926%,0.3926%,0.3926%,0.3926%,-1.3803%,0.3926%,0.3926%,0.3926%,-1.9263%
20-Dec-21,-6.1231%,-5.1940%,-3.2138%,-0.6789%,-1.5867%,-1.5867%,-1.5867%,-1.5867%,-5.4740%,-1.5867%,-1.5867%,-1.5867%,-5.0053%
17-Dec-21,-3.2873%,-3.2528%,-2.7078%,2.4850%,-2.1265%,-2.1265%,-2.1265%,-2.1265%,-1.9295%,-2.1265%,-2.1265%,-2.1265%,-1.8894%
16-Dec-21,-0.9448%,-0.2412%,-1.0693%,0.1597%,-1.3607%,-1.3607%,-1.3607%,-1.3607%,-0.5731%,-1.3607%,-1.3607%,-1.3607%,-0.8037%
15-Dec-21,-0.3689%,-0.1918%,-1.0659%,-0.8768%,0.5858%,0.5858%,0.5858%,0.5858%,-0.3422%,0.5858%,0.5858%,0.5858%,0.0360%
14-Dec-21,-0.5738%,-0.9834%,-1.4530%,0.4514%,0.9561%,0.9561%,0.9561%,0.9561%,-0.1882%,0.9561%,0.9561%,0.9561%,-0.2934%
13-Dec-21,-0.4257%,-0.1050%,-0.9996%,0.2890%,-0.1228%,-0.1228%,-0.1228%,-0.1228%,-0.2011%,-0.1228%,-0.1228%,-0.1228%,-0.9964%
10-Dec-21,-0.4825%,0.6530%,1.3868%,-0.0541%,0.0911%,0.0911%,0.0911%,0.0911%,0.6993%,0.0911%,0.0911%,0.0911%,0.2866%
09-Dec-21,1.2514%,2.7105%,2.6852%,1.8752%,1.5990%,1.5990%,1.5990%,1.5990%,1.8483%,1.5990%,1.5990%,1.5990%,1.0073%
08-Dec-21,4.1540%,3.7964%,2.2254%,3.0024%,1.7984%,1.7984%,1.7984%,1.7984%,3.1098%,1.7984%,1.7984%,1.7984%,1.9788%
07-Dec-21,1.1504%,-0.2765%,-0.8668%,-1.6323%,-1.5830%,-1.5830%,-1.5830%,-1.5830%,0.5070%,-1.5830%,-1.5830%,-1.5830%,-0.3705%
06-Dec-21,-2.1613%,-2.6757%,-2.9079%,-3.6653%,-2.7649%,-2.7649%,-2.7649%,-2.7649%,-1.4719%,-2.7649%,-2.7649%,-2.7649%,-2.5812%
03-Dec-21,-0.4634%,0.2836%,0.1073%,1.1691%,0.0130%,0.0130%,0.0130%,0.0130%,1.0482%,0.0130%,0.0130%,0.0130%,0.6344%
02-Dec-21,2.2268%,2.4795%,1.3344%,3.0812%,-0.7804%,-0.7804%,-0.7804%,-0.7804%,2.4676%,-0.7804%,-0.7804%,-0.7804%,2.8442%
01-Dec-21,1.0682%,0.5019%,0.3551%,1.5755%,-1.5377%,-1.5377%,-1.5377%,-1.5377%,0.0512%,-1.5377%,-1.5377%,-1.5377%,0.2538%
30-Nov-21,-0.9251%,-1.4717%,-0.4285%,1.2489%,-0.9830%,-0.9830%,-0.9830%,-0.9830%,-1.9864%,-0.9830%,-0.9830%,-0.9830%,-2.3044%
29-Nov-21,-3.8589%,-5.0784%,-2.5048%,-1.2317%,0.6030%,0.6030%,0.6030%,0.6030%,-5.2131%,0.6030%,0.6030%,0.6030%,-5.0585%
26-Nov-21,-3.9318%,-5.1047%,-1.6807%,-1.0407%,2.8194%,2.8194%,2.8194%,2.8194%,-3.5096%,2.8194%,2.8194%,2.8194%,-1.2876%
25-Nov-21,0.2461%,-1.8488%,-0.7850%,-0.5783%,0.5643%,0.5643%,0.5643%,0.5643%,0.5463%,0.5643%,0.5643%,0.5643%,2.6067%
24-Nov-21,0.8364%,-0.6269%,-0.4543%,-1.4663%,1.2138%,1.2138%,1.2138%,1.2138%,1.7817%,1.2138%,1.2138%,1.2138%,2.2484%
23-Nov-21,-1.8873%,-2.5468%,-0.7946%,-1.4156%,0.0634%,0.0634%,0.0634%,0.0634%,0.0332%,0.0634%,0.0634%,0.0634%,-0.8793%
22-Nov-21,-2.4583%,-5.9935%,-1.7256%,-3.3314%,-2.8429%,-2.8429%,-2.8429%,-2.8429%,-3.5316%,-2.8429%,-2.8429%,-2.8429%,-3.1127%
18-Nov-21,-0.8712%,-1.9566%,-0.3812%,-1.7687%,-2.3544%,-2.3544%,-2.3544%,-2.3544%,-2.1095%,-2.3544%,-2.3544%,-2.3544%,-0.6317%
17-Nov-21,-1.7370%,3.1019%,-0.6789%,0.5335%,-2.5874%,-2.5874%,-2.5874%,-2.5874%,-1.8151%,-2.5874%,-2.5874%,-2.5874%,-1.8078%
16-Nov-21,-1.1127%,2.2609%,0.2612%,0.8503%,0.1750%,0.1750%,0.1750%,0.1750%,-1.5732%,0.1750%,0.1750%,0.1750%,-1.1053%
15-Nov-21,0.3673%,-0.0214%,1.8732%,2.4178%,1.8359%,1.8359%,1.8359%,1.8359%,0.2415%,1.8359%,1.8359%,1.8359%,1.5415%
12-Nov-21,-0.7485%,-1.0477%,-0.0118%,1.6770%,-0.9920%,-0.9920%,-0.9920%,-0.9920%,0.2733%,-0.9920%,-0.9920%,-0.9920%,0.6939%
11-Nov-21,-2.0970%,-0.6510%,-1.0941%,-0.6504%,-1.1729%,-1.1729%,-1.1729%,-1.1729%,-0.9912%,-1.1729%,-1.1729%,-1.1729%,-0.4585%
10-Nov-21,-1.0635%,1.5504%,-0.4558%,-0.1663%,0.4317%,0.4317%,0.4317%,0.4317%,-0.6116%,0.4317%,0.4317%,0.4317%,0.4263%
09-Nov-21,-0.5205%,1.6696%,0.6523%,1.3426%,-0.5008%,-0.5008%,-0.5008%,-0.5008%,1.6762%,-0.5008%,-0.5008%,-0.5008%,1.7507%
08-Nov-21,0.0918%,2.0999%,1.8536%,1.6915%,-0.2675%,-0.2675%,-0.2675%,-0.2675%,2.0876%,-0.2675%,-0.2675%,-0.2675%,1.8771%
04-Nov-21,-0.9217%,0.4196%,0.2426%,0.4440%,-0.3226%,-0.3226%,-0.3226%,-0.3226%,1.1188%,-0.3226%,-0.3226%,-0.3226%,0.6884%
03-Nov-21,-0.9180%,-0.1737%,-0.7650%,-0.3208%,-1.1603%,-1.1603%,-1.1603%,-1.1603%,-0.4465%,-1.1603%,-1.1603%,-1.1603%,-0.0641%
02-Nov-21,2.0603%,1.9425%,1.0206%,2.1849%,0.8136%,0.8136%,0.8136%,0.8136%,0.7301%,0.8136%,0.8136%,0.8136%,0.7924%
01-Nov-21,0.6408%,1.4018%,1.1771%,1.0665%,1.9136%,1.9136%,1.9136%,1.9136%,1.7790%,1.9136%,1.9136%,1.9136%,-0.3248%
29-Oct-21,-4.4963%,-0.8648%,-1.8942%,-3.1828%,-1.5483%,-1.5483%,-1.5483%,-1.5483%,-1.9685%,-1.5483%,-1.5483%,-1.5483%,-4.0831%
28-Oct-21,-4.3771%,-1.6992%,-1.6182%,-0.7125%,-1.3791%,-1.3791%,-1.3791%,-1.3791%,-2.4152%,-1.3791%,-1.3791%,-1.3791%,-3.3570%
27-Oct-21,-0.7781%,1.4651%,1.1685%,1.4041%,1.0671%,1.0671%,1.0671%,1.0671%,1.3238%,1.0671%,1.0671%,1.0671%,0.1019%
26-Oct-21,2.2180%,0.1598%,-0.1235%,-0.6606%,0.1503%,0.1503%,0.1503%,0.1503%,1.1915%,0.1503%,0.1503%,0.1503%,0.3773%
25-Oct-21,2.8214%,-2.9319%,-2.2433%,-2.5945%,-1.6215%,-1.6215%,-1.6215%,-1.6215%,-2.0534%,-1.6215%,-1.6215%,-1.6215%,-0.6051%
22-Oct-21,1.9975%,-0.5191%,-2.1133%,-4.1027%,-1.6323%,-1.6323%,-1.6323%,-1.6323%,-1.9790%,-1.6323%,-1.6323%,-1.6323%,-0.4174%
21-Oct-21,1.2233%,-0.6009%,-2.2433%,-3.3212%,-1.5131%,-1.5131%,-1.5131%,-1.5131%,-2.6460%,-1.5131%,-1.5131%,-1.5131%,-1.9717%
20-Oct-21,-0.4216%,-2.7973%,-4.7052%,1.4667%,-2.9685%,-2.9685%,-2.9685%,-2.9685%,-4.3637%,-2.9685%,-2.9685%,-2.9685%,-3.1452%
19-Oct-21,0.5048%,-1.4918%,-2.8329%,3.6693%,-2.3936%,-2.3936%,-2.3936%,-2.3936%,-0.2728%,-2.3936%,-2.3936%,-2.3936%,0.0779%
18-Oct-21,2.6435%,-0.4672%,0.9979%,2.8115%,-0.5562%,-0.5562%,-0.5562%,-0.5562%,2.9149%,-0.5562%,-0.5562%,-0.5562%,2.1643%
14-Oct-21,2.0828%,2.7474%,1.3738%,2.4480%,0.6752%,0.6752%,0.6752%,0.6752%,2.0035%,0.6752%,0.6752%,0.6752%,2.0205%
13-Oct-21,0.8851%,4.1655%,2.0203%,0.2994%,0.4363%,0.4363%,0.4363%,0.4363%,1.5840%,0.4363%,0.4363%,0.4363%,1.7999%
12-Oct-21,1.9372%,3.4572%,1.9981%,-4.3942%,0.7820%,0.7820%,0.7820%,0.7820%,1.6836%,0.7820%,0.7820%,0.7820%,1.4986%
11-Oct-21,1.4117%,3.0218%,0.2273%,-1.4892%,0.3637%,0.3637%,0.3637%,0.3637%,1.5732%,0.3637%,0.3637%,0.3637%,1.4782%
08-Oct-21,0.6716%,4.6194%,-0.4353%,3.6432%,0.3641%,0.3641%,0.3641%,0.3641%,0.7231%,0.3641%,0.3641%,0.3641%,0.0180%
07-Oct-21,0.0323%,3.0802%,-0.4999%,0.4469%,-1.2090%,-1.2090%,-1.2090%,-1.2090%,-1.1463%,-1.2090%,-1.2090%,-1.2090%,-0.8475%
06-Oct-21,-0.1548%,-0.6965%,-0.6921%,-0.1435%,-2.4233%,-2.4233%,-2.4233%,-2.4233%,-0.3776%,-2.4233%,-2.4233%,-2.4233%,2.3575%
05-Oct-21,1.3648%,0.8890%,0.0705%,2.1486%,1.0218%,1.0218%,1.0218%,1.0218%,2.6914%,1.0218%,1.0218%,1.0218%,4.1904%
04-Oct-21,0.4113%,0.4013%,0.0467%,0.2794%,2.3352%,2.3352%,2.3352%,2.3352%,2.0962%,2.3352%,2.3352%,2.3352%,2.0401%
01-Oct-21,-1.3891%,-0.5525%,-0.1811%,-1.4435%,1.2524%,1.2524%,1.2524%,1.2524%,0.0262%,1.2524%,1.2524%,1.2524%,0.5898%
30-Sep-21,-1.3892%,-0.9199%,-0.6342%,-0.6051%,2.0385%,2.0385%,2.0385%,2.0385%,1.0175%,2.0385%,2.0385%,2.0385%,1.7901%
29-Sep-21,-1.1346%,-1.0290%,-0.6139%,-2.1307%,1.7234%,1.7234%,1.7234%,1.7234%,2.1841%,1.7234%,1.7234%,1.7234%,3.7547%
28-Sep-21,0.3023%,2.4953%,-1.0028%,-5.2875%,-0.8295%,-0.8295%,-0.8295%,-0.8295%,1.2867%,-0.8295%,-0.8295%,-0.8295%,3.2647%
27-Sep-21,1.0467%,3.6432%,-2.0339%,-2.1715%,-1.5809%,-1.5809%,-1.5809%,-1.5809%,-0.7062%,-1.5809%,-1.5809%,-1.5809%,0.5126%
24-Sep-21,2.3411%,1.3851%,-1.0132%,1.8350%,-0.3156%,-0.3156%,-0.3156%,-0.3156%,0.0009%,-0.3156%,-0.3156%,-0.3156%,1.0002%
23-Sep-21,1.4187%,2.0920%,-0.1712%,1.9851%,0.7062%,0.7062%,0.7062%,0.7062%,2.1711%,0.7062%,0.7062%,0.7062%,2.5978%
22-Sep-21,-0.5442%,0.7968%,0.8132%,2.8069%,1.6534%,1.6534%,1.6534%,1.6534%,2.2560%,1.6534%,1.6534%,1.6534%,1.3293%
21-Sep-21,-1.5472%,-1.9250%,1.9727%,1.2181%,-0.5337%,-0.5337%,-0.5337%,-0.5337%,-2.1232%,-0.5337%,-0.5337%,-0.5337%,-0.5634%
20-Sep-21,-1.4077%,-1.4584%,0.3937%,-1.2778%,-2.7956%,-2.7956%,-2.7956%,-2.7956%,-5.1185%,-2.7956%,-2.7956%,-2.7956%,-2.1298%
17-Sep-21,2.5381%,0.5260%,0.7216%,-1.2026%,-0.9248%,-0.9248%,-0.9248%,-0.9248%,-1.5946%,-0.9248%,-0.9248%,-0.9248%,0.4383%
16-Sep-21,2.8022%,1.3703%,1.3121%,1.1740%,0.5548%,0.5548%,0.5548%,0.5548%,0.8991%,0.5548%,0.5548%,0.5548%,2.9095%
15-Sep-21,1.0324%,1.7175%,-0.2169%,2.6212%,0.7651%,0.7651%,0.7651%,0.7651%,0.7057%,0.7651%,0.7651%,0.7651%,1.6957%
14-Sep-21,-0.1916%,0.9501%,-0.2679%,1.7758%,0.5628%,0.5628%,0.5628%,0.5628%,0.3174%,0.5628%,0.5628%,0.5628%,-0.5393%
13-Sep-21,-0.8127%,0.1952%,0.8103%,1.2850%,0.1920%,0.1920%,0.1920%,0.1920%,1.2201%,0.1920%,0.1920%,0.1920%,-0.0767%
09-Sep-21,0.5845%,-0.3965%,0.7100%,-0.4280%,-0.4013%,-0.4013%,-0.4013%,-0.4013%,0.9358%,-0.4013%,-0.4013%,-0.4013%,1.0112%
08-Sep-21,0.4783%,-0.6619%,0.2345%,-2.1250%,-0.9206%,-0.9206%,-0.9206%,-0.9206%,0.0784%,-0.9206%,-0.9206%,-0.9206%,-0.0183%
07-Sep-21,-0.8016%,0.2753%,0.1579%,0.1720%,-0.6832%,-0.6832%,-0.6832%,-0.6832%,0.1920%,-0.6832%,-0.6832%,-0.6832%,0.0024%
06-Sep-21,-0.6530%,1.4242%,-0.3170%,2.0748%,0.1592%,0.1592%,0.1592%,0.1592%,1.6559%,0.1592%,0.1592%,0.1592%,2.5825%
03-Sep-21,0.5083%,0.7985%,1.4457%,2.2374%,1.1446%,1.1446%,1.1446%,1.1446%,2.3141%,1.1446%,1.1446%,1.1446%,2.7584%
02-Sep-21,1.1042%,-0.1197%,1.9027%,0.3175%,0.7867%,0.7867%,0.7867%,0.7867%,0.5247%,0.7867%,0.7867%,0.7867%,0.8614%
01-Sep-21,0.6197%,0.8562%,1.2473%,0.0038%,0.6798%,0.6798%,0.6798%,0.6798%,0.5091%,0.6798%,0.6798%,0.6798%,0.5546%
31-Aug-21,2.1875%,2.3977%,1.7966%,0.7532%,2.7609%,2.7609%,2.7609%,2.7609%,2.9908%,2.7609%,2.7609%,2.7609%,1.7115%
30-Aug-21,2.0087%,1.9562%,1.2248%,0.1997%,3.2617%,3.2617%,3.2617%,3.2617%,3.1874%,3.2617%,3.2617%,3.2617%,1.8702%
